variant,symbol,gross_alpha_contribution,net_alpha_contribution,pct_of_variant_net_alpha,abs_pct_of_variant_net_alpha,fee_cost_total,slippage_cost_total,funding_cost_total,total_cost,holding_days,long_days,short_days,is_baseline_top5_positive_symbol
baseline_current_long_short,BYBIT:ETHUSDT.P,-0.006292661154523128,-0.011985829317131356,-0.042007556632803186,0.042007556632803186,8.975e-05,0.000115,0.005488418162608226,0.005693168162608226,760,760,0,False
baseline_current_long_short,BYBIT:AAVEUSDT.P,-0.011639082704525365,-0.012710661620434455,-0.044547926032755356,0.044547926032755356,0.00010509090909090909,0.00013545454545454546,0.0008310334613636365,0.001071578915909091,670,577,93,False
baseline_current_long_short,BYBIT:ENSUSDT.P,-0.011236993889442142,-0.01276691968944214,-0.04474509753898686,0.04474509753898686,1.4999999999999999e-05,2e-05,0.0014949258000000003,0.0015299258000000004,336,336,0,False
baseline_current_long_short,BYBIT:CKBUSDT.P,-0.012752784237182955,-0.013511713237182954,-0.04735542647899188,0.04735542647899188,4.4999999999999996e-05,6.000000000000001e-05,0.0006539290000000001,0.0007589290000000002,148,148,0,False
baseline_current_long_short,BYBIT:CROUSDT.P,-0.015959664596125103,-0.014916559396125103,-0.052279086996815986,0.052279086996815986,2.6e-05,3.0000000000000004e-05,-0.0010991052,-0.0010431052,364,242,122,False
baseline_current_long_short,BYBIT:ATOMUSDT.P,-0.013823236102546994,-0.015862757552546996,-0.055595292458288356,0.055595292458288356,6.44375e-05,8.125000000000001e-05,0.00189383395,0.0020395214500000002,455,31,424,False
baseline_current_long_short,BYBIT:INJUSDT.P,-0.01979034849578036,-0.01839428309578036,-0.06446770335377533,0.06446770335377533,1.1e-05,1e-05,-0.0014170654,-0.0013960654,242,242,0,False
baseline_current_long_short,BYBIT:RUNEUSDT.P,-0.018935279724004793,-0.019317574924004793,-0.06770362743850315,0.06770362743850315,4.4999999999999996e-05,6.000000000000001e-05,0.00027729519999999995,0.00038229519999999996,247,63,184,False
baseline_current_long_short,BYBIT:CHZUSDT.P,-0.021545593315072064,-0.020707458265072063,-0.07257484674407282,0.07257484674407282,3.84375e-05,5.125e-05,-0.0009278225500000001,-0.0008381350500000001,400,0,400,False
baseline_current_long_short,BYBIT:LINKUSDT.P,-0.016959012570557198,-0.023196958717923728,-0.08129996942799776,0.08129996942799776,8.975e-05,0.000115,0.006033196147366523,0.006237946147366523,760,760,0,False
baseline_current_long_short,BYBIT:COMPUSDT.P,-0.025362980816880456,-0.02393818296763803,-0.08389778880483274,0.08389778880483274,5.6666666666666664e-05,7.555555555555556e-05,-0.0015570200714646466,-0.0014247978492424244,152,29,123,False
baseline_current_long_short,BYBIT:STXUSDT.P,-0.024388310120628087,-0.025438269720628084,-0.08915524555338498,0.08915524555338498,1.4999999999999999e-05,2e-05,0.0010149596000000002,0.0010499596000000003,425,425,0,False
baseline_current_long_short,BYBIT:CRVUSDT.P,-0.03045322236993068,-0.02944386233243068,-0.10319392022796374,0.10319392022796374,3.84375e-05,5.125e-05,-0.0010990475375000002,-0.0010093600375000002,212,0,212,False
